Date,Telescope,ProposalID,Type,PIName,FieldOfResearch,Instrument,TimeStart,TimeEnd,MoonPhase
2026-01-19,1m,ID006,Proposal,Evan Akbar,N/A,"Andor,eShel",19:00,3:00,
2026-01-19,1m,ID002,Proposal,Napaporn A-thano,N/A,Andor,3:00,5:00,
2026-01-20,1m,ID006,Proposal,Evan Akbar,N/A,"Andor,eShel",19:00,0:30,
2026-01-20,1m,ID002,Proposal,Napaporn A-thano,N/A,Andor,0:30,5:00,
2026-01-21,1m,ID003,Proposal,Liying Zhu,N/A,eShel,19:00,5:00,
2026-01-22,1m,BUF,Buffer time,Buffer Time,N/A,-,19:00,21:00,
2026-01-22,1m,ID002,Proposal,Napaporn A-thano,N/A,Andor,21:00,3:30,
2026-01-22,1m,BUF,Buffer time,Buffer Time,N/A,-,3:30,5:00,
2026-01-23,1m,OUT,OUT,Outreach,N/A,Andor,19:00,2:00,
2026-01-23,1m,ID002,Proposal,Napaporn A-thano,N/A,Andor,2:00,5:00,
2026-01-24,1m,ID003,Proposal,Liying Zhu,N/A,eShel,19:00,5:00,
2026-01-25,1m,ID002,Proposal,Napaporn A-thano,N/A,Andor,19:00,2:30,
2026-01-25,1m,BUF,Buffer time,Buffer Time,N/A,-,2:30,5:00,
2026-01-26,1m,ID003,Proposal,Liying Zhu,N/A,eShel,19:00,5:00,
2026-01-27,1m,ID001,Proposal,Kanthanakorn Noysena,N/A,Andor,19:00,1:30,
2026-01-27,1m,ID002,Proposal,Napaporn A-thano,N/A,Andor,1:30,5:00,
2026-01-28,1m,OUT,OUT,Outreach,N/A,Andor,19:00,5:00,
2026-01-29,1m,OUT,OUT,Outreach,N/A,Andor,19:00,5:00,
2026-01-30,1m,DDT,DDT,DDT,N/A,0,19:00,5:00,
2026-01-31,1m,DDT,DDT,DDT,N/A,0,19:00,5:00,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
