Date,Telescope,ProposalID,Type,PIName,FieldOfResearch,Instrument,TimeStart,TimeEnd,MoonPhase
2026-01-19,2.4m,ID009,Proposal,Amornrat Aungwerojwit,N/A,ULTRASPEC,19:00,3:00,0
2026-01-19,2.4m,ID005,Proposal,Napaporn A-thano,N/A,ULTRASPEC,3:00,5:00,0
2026-01-20,2.4m,ID022,Proposal,Adipol Phosrisom,N/A,ULTRASPEC,19:00,23:00,1
2026-01-20,2.4m,ID010,Proposal,Shengbang Qian,N/A,MRES,23:00,5:00,1
2026-01-21,2.4m,ID022,Proposal,Adipol Phosrisom,N/A,ULTRASPEC,19:00,23:00,4
2026-01-21,2.4m,ID010,Proposal,Shengbang Qian,N/A,MRES,23:00,5:00,4
2026-01-22,2.4m,ID009,Proposal,Amornrat Aungwerojwit,N/A,ULTRASPEC,19:00,2:00,9
2026-01-22,2.4m,ID010,Proposal,Shengbang Qian,N/A,MRES,2:00,5:00,9
2026-01-23,2.4m,ID022,Proposal,Adipol Phosrisom,N/A,ULTRASPEC,19:00,23:00,15
2026-01-23,2.4m,ID010,Proposal,Shengbang Qian,N/A,MRES,23:00,2:00,15
2026-01-23,2.4m,ID005,Proposal,Napaporn A-thano,N/A,ULTRASPEC,2:00,5:00,15
2026-01-24,2.4m,ID022,Proposal,Adipol Phosrisom,N/A,ULTRASPEC,19:00,23:00,24
2026-01-24,2.4m,ID010,Proposal,Shengbang Qian,N/A,MRES,23:00,5:00,24
2026-01-25,2.4m,ID008,Proposal,Amornrat Aungwerojwit,N/A,ULTRASPEC,19:00,5:00,34
2026-01-26,2.4m,ID008,Proposal,Amornrat Aungwerojwit,N/A,ULTRASPEC,19:00,5:00,45
2026-01-27,2.4m,ID008,Proposal,Amornrat Aungwerojwit,N/A,ULTRASPEC,19:00,5:00,56
2026-01-28,2.4m,ID011,Proposal,Eugene Semenko,N/A,MRES,19:00,5:00,67
2026-01-29,2.4m,ID011,Proposal,Eugene Semenko,N/A,MRES,19:00,5:00,77
2026-01-30,2.4m,ID011,Proposal,Eugene Semenko,N/A,MRES,19:00,5:00,86
2026-01-31,2.4m,ID011,Proposal,Eugene Semenko,N/A,MRES,19:00,5:00,93
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
